[2026-05-22 14:27:55] [INFO] === ZAPRET MANAGER started ===
[2026-05-22 14:27:55] [INFO] OS: Microsoft Windows NT 10.0.26200.0 | .NET: 8.0.27
[2026-05-23 00:03:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:03:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:03:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:03:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:04:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:05:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:05:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:05:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:05:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:05:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:05:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:06:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:06:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:06:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:06:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:06:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:06:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:07:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:07:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:07:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:07:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:07:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:07:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:08:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:08:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:08:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:08:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:08:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:08:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:09:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:09:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:09:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:09:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:09:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:09:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:10:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:10:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:10:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:10:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:10:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:10:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:11:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:11:16] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:11:26] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:11:36] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:11:46] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:11:56] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
[2026-05-23 00:12:06] [ERROR] [TrayManager] ExternalException: A generic error occurred in GDI+.
